Class [0],Top Name [1],Mana [2],Top Effect [3],Top Channel [4],Keyword [5],Target 1 [6],Type 1 [7],Amount 1 [8],Keyword 2 [9],Target 2 [10],Type 2 [11],Amount 2 [12],Channel Keyword [13],Channel Target [14],Channel Type [15],Channel Amount [16],Bottom Name [17],Mana [18],Bottom Effect [19],Bottom Channel [20],Keyword [21],Target 1 [22],Type 1 [23],Amount 1 [24],Keyword 2 [25],Target 2 [26],Type 2 [27],Amount 2 [28],Channel Keyword [29],Channel Target [30],Channel Type [31],Channel Amount [32],
Enchanter,Arcane Shackles,2,Immobilze target,Imobilze for 2 turns,,,,,,,,,,,,,Anchor Sigil,2,Imbue tile with chosen enhancement,,,,,,,,,,,,,,
Elementalist,Fireball,3,3 Damage in 1 tile aoe,Imbue a tile with Fire,,,,,,,,,,,,,Heat ground,2,Imbue a tile with burning,Imbue a tile with Fire,,,,,,,,,,,,,
Elementalist,Ice Spike,2,Deal 4 Damage,Immobilize target,,,,,,,,,,,,,Stone guard,1,Gain 5 armor,,,,,,,,,,,,,,
Elementalist,Earth Slam,4,Deal 8 Damage,,,,,,,,,,,,,,Frost Wall,3,Place an impasable tile,Place an impassabel wall,,,,,,,,,,,,,
Elementalist,Wind Blade,2,Push an enemy 2 tiles,Deal 3 damage,,,,,,,,,,,,,Spark Charge,1,Next spell gain + 3 Damage,,,,,,,,,,,,,,
Elementalist,Lightning strikie,3,5 Damage,Target a second enemy,,,,,,,,,,,,,Windwalk,2,Move 3,,,,,,,,,,,,,,
Elementalist,Fire Lance,2,Deal 4 damage in a line of 3 tiles,Line is 5 tiles,,,,,,,,,,,,,Flame Jet,2,Move 2. Imbue traversed tiles with Fire,,,,,,,,,,,,,,
Elementalist,Frozen Mist,2,Deal 3 damage. Slow enemy.,,,,,,,,,,,,,,Frozen Step,1,Move 2,Ice tiles cause slip (move extra).,,,,,,,,,,,,,
Elementalist,Shockwave,3,Push all enemies in 1-tile radius.,Deal 3 damage,,,,,,,,,,,,,Lightning Dash,1,Move 3 in a straight line.,Ignore enemies.,,,,,,,,,,,,,
Elementalist,Boulder Slam,3,Deal 5 damage to target and knock back.,,,,,,,,,,,,,,Stone Walk,1,"Move 1, gain 3 armor",Also gain 1 shield.,,,,,,,,,,,,,
Elementalist,Cyclone Surge,3,Push enemies in 2-tile radius.,,,,,,,,,,,,,,Wind Step,2,Teleport 3 tiles away,Teleport any range,,,,,,,,,,,,,
Arcanist,Mana Surge,2,Deal 4 damage,Gain 1 mana,,,,,,,,,,,,,Mystic Guard,1,Gain 5 armor,Draw 1 card,,,,,,,,,,,,,
Arcanist,Arcane Lance,3,Deal 6 damage,Gain spell pierce (ignore shield or armor),,,,,,,,,,,,,Leyline Anchor,2,Cards cost 1 less to cast on your next turn,,,,,,,,,,,,,,
Arcanist,Magic missile,4,2 Damage to 3 targets. Spell pierce,3 Damage to an aditional target,,,,,,,,,,,,,Concentrate,1,You may channel 1 additional card,,,,,,,,,,,,,,
Arcanist,Mystic implosion,5,6 damage in 1 tile aoe,,,,,,,,,,,,,,Arcane bubble,2,Gain 1 shield,Gain 1 mana,,,,,,,,,,,,,
Arcanist,Spelll echo,4,Double cast your next spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanist,Arc Bolt,2,Deal 3 damage. Chain to 1 more target.,Chain to 2 targets instead.,,,,,,,,,,,,,Quick Step,1,Move 2 tiles.,,,,,,,,,,,,,,
Arcanist,Mana Burn,2,Target loses 1 mana. Take 2 damage.,Lose 2 mana instead.,,,,,,,,,,,,,Arcane Blink,3,Teleport to tile,,,,,,,,,,,,,,
Arcanist,Knowledge Surge,3,Draw 2 cards.,,,,,,,,,,,,,,Mental Focus,1,Next card costs 2 less.,Next 2 cards cost 2 less.,,,,,,,,,,,,,
Arcanist,Void Beam,4,Deal 5 damage in a line. Pierce.,,,,,,,,,,,,,,Phase Drift,1,Move 2. Cannot be targeted this turn.,Also gain 1 shield.,,,,,,,,,,,,,
Arcanist,Rune Collapse,3,"Destroy target imbuement, gain 1 shield",Double cast,,,,,,,,,,,,,Inscribe Rune,1,Place a rune. Next spell gains +1 damage.,Next two spells gain +1 damage.,,,,,,,,,,,,,
